"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"WebTemplateItem","WebTemplateItem.min","WebTemplateItem.min","","","",1,1,"","","","string {[]} {[]}
","Minimal value of occurrences for this node (this node has to appear at least this many times)","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.min",1,1,"",""
"WebTemplateItem","WebTemplateItem.max","WebTemplateItem.max","","","",1,1,"","","","string {[]} {[]}
","Maximal value of occurrences for this node or -1 if unlimited. When converting to a composition this node should not appear more than this many times.","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.max",1,1,"",""
"WebTemplateItem","WebTemplateItem.dependsOn","WebTemplateItem.dependsOn","","","",1,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.dependsOn",1,1,"",""
"WebTemplateItem","WebTemplateItem.localizedNames","WebTemplateItem.localizedNames","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","Map with labels in additional languages","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.localizedNames",0,*,"",""
"WebTemplateItem","WebTemplateItem.localizedDescriptions","WebTemplateItem.localizedDescriptions","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/TranslatedString {[]} {[]}
","Map with element descriptions","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.localizedDescriptions",0,*,"",""
"WebTemplateItem","WebTemplateItem.annotations","WebTemplateItem.annotations","","","",0,1,"","","","http://openehr.org/fhir/StructureDefinition/Annotations {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.annotations",0,1,"",""
"WebTemplateItem","WebTemplateItem.archetype-id","WebTemplateItem.archetype_id","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.archetype_id",0,1,"",""
"WebTemplateItem","WebTemplateItem.aqlPath","WebTemplateItem.aqlPath","","","",1,1,"","","","string {[]} {[]}
","AQL (or RM) path to this node. Such paths can be used in AQLs","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.aqlPath",1,1,"",""
"WebTemplateItem","WebTemplateItem.custodian-namespace","WebTemplateItem.custodian_namespace","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.custodian_namespace",0,1,"",""
"WebTemplateItem","WebTemplateItem.custodian-organisation","WebTemplateItem.custodian_organisation","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.custodian_organisation",0,1,"",""
"WebTemplateItem","WebTemplateItem.lifecycleState","WebTemplateItem.lifecycleState","","","",0,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-item-lifecyclestate","",,,,"WebTemplateItem.lifecycleState",0,1,"",""
"WebTemplateItem","WebTemplateItem.original-namespace","WebTemplateItem.original_namespace","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.original_namespace",0,1,"",""
"WebTemplateItem","WebTemplateItem.original-publisher","WebTemplateItem.original_publisher","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.original_publisher",0,1,"",""
"WebTemplateItem","WebTemplateItem.proportionTypes","WebTemplateItem.proportionTypes","","","",0,1,"","","","code {[]} {[]}
","todo","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-item-proportiontype","",,,,"WebTemplateItem.proportionTypes",0,1,"",""
"WebTemplateItem","WebTemplateItem.revision","WebTemplateItem.revision","","","",0,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.revision",0,1,"",""
"WebTemplateItem","WebTemplateItem.inContext","WebTemplateItem.inContext","","","",0,1,"","","","boolean {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.inContext",0,1,"",""
"WebTemplateItem","WebTemplateItem.inputs","WebTemplateItem.inputs","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateInput {[]} {[]}
","Used for creating input fields. the inputs are determined by the attributes for a particular datatype","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.inputs",0,*,"",""
"WebTemplateItem","WebTemplateItem.termBindings","WebTemplateItem.termBindings","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateTermBinding {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.termBindings",0,*,"",""
"WebTemplateItem","WebTemplateItem.children","WebTemplateItem.children","","","",0,*,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateItem {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateItem.children",0,*,"",""
"WebTemplateTermBinding","WebTemplateTermBinding","WebTemplateTermBinding","","","",0,*,"","","","null {[]} {[]}
","todo","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateTermBinding","WebTemplateTermBinding.code","WebTemplateTermBinding.code","","","",1,1,"","","","code {[]} {[]}
","Which terminology is bound","","","","","","","","","","",,"required","","https://specifications.openehr.org/fhir/valueset-term-binding-type","",,,,"WebTemplateTermBinding.code",1,1,"",""
"WebTemplateTermBinding","WebTemplateTermBinding.value","WebTemplateTermBinding.value","","","",1,1,"","","","http://openehr.org/fhir/StructureDefinition/WebTemplateTermBindingValue {[]} {[]}
","The binding","","","","","","","","","","",,,,,"",,,,"WebTemplateTermBinding.value",1,1,"",""
"WebTemplateTermBindingValue","WebTemplateTermBindingValue","WebTemplateTermBindingValue","","","",0,*,"","","","null {[]} {[]}
","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list","The grouping variant of ITEM, which may contain further instances of ITEM, in an ordered list.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WebTemplateTermBindingValue","WebTemplateTermBindingValue.value","WebTemplateTermBindingValue.value","","","",1,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateTermBindingValue.value",1,1,"",""
"WebTemplateTermBindingValue","WebTemplateTermBindingValue.terminologyId","WebTemplateTermBindingValue.terminologyId","","","",1,1,"","","","string {[]} {[]}
","todo","","","","","","","","","","",,,,,"",,,,"WebTemplateTermBindingValue.terminologyId",1,1,"",""
"ACCESS-CONTROL-SETTINGS","ACCESS_CONTROL_SETTINGS","ACCESS_CONTROL_SETTINGS","","","",0,*,"","","","","Access Control Settings for the EHR and components.","Access Control Settings for the EHR and components. Intended to support multiple access control schemes. Currently implementation dependent.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
